书名,作者,出版社,定价,京东价,好评率
数据结构与算法分析：Java语言描述（原书第3版）, [美]马克·艾伦·维斯 著 陈越 译,机械工业出版社,69.00,45.50,98% 
SpringCloud与Docker微服务架构实战（第2版）, 周立 著 ,电子工业出版社,79.00,75.80,99% 
Redis深度历险：核心原理与应用实践, 钱文品 著 ,电子工业出版社,79.00,69.50,99% 
Python深度学习, [美]弗朗索瓦·肖莱 著 ,人民邮电出版社,119.00,79.80,99% 
文明之光（全彩印刷套装1-4册）入选2014中国好书/第六届中华优秀出版物获奖图书, 吴军 著 ,人民邮电出版社,246.00,177.10,99% 
SQL必知必会第4版, [美]BenForta 著 钟鸣 刘晓霞 译,人民邮电出版社,29.00,22.00,98% 
Java核心技术卷I：基础知识（原书第10版）, [美]凯S.霍斯特曼 著 ,机械工业出版社,119.00,92.40,99% 
MySQL必知必会[MySQLCrashCourse], [英]福塔 著 刘晓霞 钟鸣 译,人民邮电出版社,39.00,32.70,98% 
和秋叶一起学Excel, 秋叶 著 ,人民邮电出版社,99.00,98.00,99% 
Python从小白到大牛, 关东升 著 ,清华大学出版社,89.00,84.60,99% 
PhotoshopCS6从入门到精通PS教程（全彩印高清视频版）, 唯美世界 著 ,中国水利水电出版社,99.80,89.80,98% 
大话数据结构, 程杰 著 ,清华大学出版社,59.00,56.10,98% 
和秋叶一起学PPT第3版, 秋叶 PPT 著 ,人民邮电出版社,99.00,74.30,99% 
知识图谱：方法、实践与应用, 王昊奋 漆桂林 陈华钧 编,电子工业出版社,118.00,100.30,98% 
深度学习入门基于Python的理论与实现, 斋藤康毅 著 陆宇杰 译,人民邮电出版社,59.00,46.60,99% 
零基础学Java（全彩版）, 明日科技 著 明日科技 编,吉林大学出版社,69.80,58.60,99% 
Kubernetes权威指南：从Docker到Kubernetes实践全接触（第4版）, 龚正 吴治辉 崔秀龙 闫健勇 著 ,电子工业出版社,168.00,142.80,99% 
Python3网络爬虫开发实战, 崔庆才 著 ,人民邮电出版社,99.00,66.40,99% 
好PPT坏PPT：锐普的100个PPT秘诀全彩教程, 陈魁 著 ,中国水利水电出版社,99.80,75.40,97% 
Spring实战（第4版）, [美]CraigWalls沃尔斯 著 张卫滨 译,人民邮电出版社,89.00,80.10,98% 
AutoCAD2019从入门到精通CAD教材自学实战案例+视频讲解, 天工在线 著 ,中国水利水电出版社,89.80,82.00,98% 
五笔字型104键盘指法练习卡, 广东科技出版社 编,广东科技出版社,3.00,2.90,99% 
TensorFlow深度学习算法原理与编程实战人工智能机器学习技术丛书, 蒋子阳 著 ,中国水利水电出版社,99.80,94.80,99% 
WordExcelPPT应用与技巧大全office教程（彩印+视频讲解）, IT新时代教育 著 ,中国水利水电出版社,69.80,66.30,98% 
大话计算机：计算机系统底层架构原理极限剖析（套装共3册）, 冬瓜哥 著 ,清华大学出版社,598.00,568.10,99% 
幕后产品：打造突破式产品思维, 王诗沐 著 ,电子工业出版社,69.00,66.20,99% 
架构整洁之道, [美]RobertC.Martin 著 孙宇聪 译鄢倩 校,电子工业出版社,99.00,84.20,97% 
Word之光：颠覆认知的Word必修课（全彩）, 冯注龙 李海潇 著 ,电子工业出版社,79.90,75.90,98% 
C++Primer（中文版第5版）, StanleyB.Lippman JoséeLajoie BarbaraE.Moo 著 王刚 杨巨峰 译叶劲峰 李云 刘未鹏 等 校,电子工业出版社,128.00,85.80,97% 
Linux命令行与shell脚本编程大全（第3版）, [美]布鲁姆 布雷斯纳汉 著 门佳 武海峰 译,人民邮电出版社,109.00,73.10,98% 
深度学习的数学, [日]涌井良幸 涌井贞美 著 杨瑞龙 译,人民邮电出版社,69.00,46.30,99% 
Excel2016函数与公式应用大全, Excel Home 著 ,北京大学出版社,119.00,119.00,99% 
机器学习实战[Machinelearninginaction], [美]PeterHarrington 著 李锐 李鹏 曲亚东 等 译,人民邮电出版社,69.00,54.50,99% 
Python编程锦囊（全彩版）, 明日科技 著 明日科技 编,吉林大学出版社,79.80,67.00,99% 
零基础学C++（全彩版）, 明日科技 著 明日科技 编,吉林大学出版社,79.80,67.00,99% 
图解HTTP, [日]上野·宣 著 于均良 译,人民邮电出版社,49.00,38.70,98% 
基于Python的大数据分析基础及实战, 余本国 著 ,中国水利水电出版社,69.80,63.80,99% 
大数据架构详解：从数据获取到深度学习, 朱洁 罗华霖 著 ,电子工业出版社,69.00,60.70,98% 
AdobePhotoshopCC2018经典教程彩色版, [美]安德鲁·福克纳 著 罗骥 译,人民邮电出版社,108.00,106.90,97% 
从零开始学架构：照着做，你也能成为架构师, 李运华 著 ,电子工业出版社,99.00,95.00,97% 
MATLAB2018从入门到精通MATLAB视频教程实战案例版, 天工在线 著 ,中国水利水电出版社,89.80,82.00,98% 
O'Reilly：HeadFirstJava（中文版第2版涵盖Java5.0）, [美]塞若 [美]贝茨 著 O'ReillyTaiwan公司 译,中国电力出版社,79.00,64.80,98% 
和冯注龙一起学PPT、Excel、Word，完全搞定Office（全彩套装共3册）, 冯注龙 李海潇 丘荣茂 著 ,电子工业出版社,237.90,200.00,98% 
Python零基础入门学习-水木书荟, 李佳宇 著 ,清华大学出版社,49.50,47.00,99% 
编码：隐匿在计算机软硬件背后的语言[Code:TheHiddenLanguageofComputerHardwareandSoftware], [美]CharlesPetzold 著 左飞 薛佟佟 译,电子工业出版社,59.00,50.20,98% 
码出高效：Java开发手册, 杨冠宝 高海慧 著 ,电子工业出版社,99.00,95.00,99% 
零基础入门学习Python（第2版）, 小甲鱼李佳宇著  著 ,清华大学出版社,89.00,84.60,98% 
架构修炼之道：亿级网关、平台开放、分布式、微服务、容错等核心技术修炼实践, 王新栋 著 ,电子工业出版社,79.00,75.80,97% 
